Date,Open,High,Low,Close,Adj Close,Volume
1994-05-02,10.000000,10.100000,10.000000,10.100000,5.949699,0
1994-05-09,9.880000,10.220000,9.880000,10.220000,6.020389,0
1994-05-16,10.250000,10.890000,10.250000,10.890000,6.415071,0
1994-05-23,10.910000,11.020000,10.910000,11.020000,6.491652,0
1994-05-30,11.050000,11.050000,10.860000,10.930000,6.438633,0
1994-06-06,11.090000,11.090000,10.940000,10.990000,6.473978,0
1994-06-13,10.900000,10.930000,10.880000,10.930000,6.438633,0
1994-06-20,10.830000,10.830000,10.480000,10.480000,6.173548,0
1994-06-27,10.470000,10.610000,10.470000,10.520000,6.197109,0
1994-07-04,10.570000,10.740000,10.570000,10.740000,6.326710,0
1994-07-11,10.740000,10.980000,10.740000,10.980000,6.468086,0
1994-07-18,11.010000,11.010000,10.940000,10.990000,6.473978,0
1994-07-25,11.040000,11.410000,11.040000,11.410000,6.721391,0
1994-08-01,11.590000,12.030000,11.590000,12.030000,7.086622,0
1994-08-08,12.060000,12.130000,12.020000,12.130000,7.145527,0
1994-08-15,12.190000,12.650000,12.190000,12.650000,7.451852,0
1994-08-22,12.850000,12.850000,12.660000,12.660000,7.457743,0
1994-08-29,12.680000,12.940000,12.680000,12.940000,7.622684,0
1994-09-05,12.840000,13.010000,12.840000,13.010000,7.663921,0
1994-09-12,13.000000,13.120000,13.000000,13.120000,7.728713,0
1994-09-19,13.090000,13.100000,13.070000,13.100000,7.716936,0
1994-09-26,12.960000,12.960000,12.850000,12.870000,7.581449,0
1994-10-03,12.820000,12.830000,12.580000,12.580000,7.410612,0
1994-10-10,12.510000,12.790000,12.510000,12.770000,7.522539,0
1994-10-17,12.760000,12.760000,12.490000,12.490000,7.357597,0
1994-10-24,12.370000,12.580000,12.370000,12.580000,7.410612,0
1994-10-31,12.670000,12.670000,12.440000,12.550000,7.392943,0
1994-11-07,12.570000,12.610000,12.410000,12.410000,7.310472,0
1994-11-14,12.400000,12.500000,12.250000,12.250000,7.216219,0
1994-11-21,12.090000,12.090000,11.670000,11.720000,6.904005,0
1994-11-28,11.730000,11.900000,11.580000,11.580000,6.821534,0
1994-12-05,11.610000,11.630000,11.360000,11.360000,6.691938,0
1994-12-12,11.340000,11.600000,11.340000,11.570000,6.815644,0
1994-12-19,11.600000,11.600000,10.990000,11.000000,6.479868,0
1994-12-26,10.700000,10.870000,10.700000,10.870000,6.403289,0
1995-01-02,10.590000,10.590000,10.420000,10.420000,6.178625,0
1995-01-09,10.170000,10.170000,9.810000,10.050000,5.959229,0
1995-01-16,10.110000,10.240000,9.770000,9.770000,5.793201,0
1995-01-23,9.460000,9.680000,9.460000,9.630000,5.710186,0
1995-01-30,9.470000,10.000000,9.470000,10.000000,5.929581,0
1995-02-06,10.210000,10.210000,9.980000,9.980000,5.917722,0
1995-02-13,9.950000,9.950000,9.690000,9.780000,5.799131,0
1995-02-20,9.620000,9.770000,9.490000,9.770000,5.793201,0
1995-02-27,9.580000,9.750000,9.550000,9.550000,5.662750,0
1995-03-06,9.330000,9.330000,8.860000,9.000000,5.336624,0
1995-03-13,9.110000,9.330000,9.110000,9.330000,5.532297,0
1995-03-20,9.340000,9.530000,9.340000,9.530000,5.650890,0
1995-03-27,9.640000,9.720000,9.640000,9.650000,5.722046,0
1995-04-03,9.530000,9.830000,9.530000,9.770000,5.793201,0
1995-04-10,9.690000,9.710000,9.660000,9.710000,5.757623,0
1995-04-17,9.770000,10.030000,9.770000,10.030000,5.947372,0
1995-04-24,10.100000,10.200000,10.100000,10.150000,6.018525,0
1995-05-01,10.110000,10.480000,10.110000,10.480000,6.214200,0
1995-05-08,10.490000,10.960000,10.490000,10.960000,6.498823,0
1995-05-15,10.940000,11.020000,10.870000,10.870000,6.445456,0
1995-05-22,10.900000,11.090000,10.900000,11.010000,6.528469,0
1995-05-29,10.870000,11.310000,10.870000,11.310000,6.706356,0
1995-06-05,11.370000,11.370000,10.960000,10.960000,6.498823,0
1995-06-12,10.910000,11.060000,10.910000,11.060000,6.558118,0
1995-06-19,11.000000,11.000000,10.930000,10.930000,6.481033,0
1995-06-26,10.880000,10.920000,10.870000,10.870000,6.445456,0
1995-07-03,10.850000,11.430000,10.850000,11.430000,6.777512,0
1995-07-10,11.550000,11.580000,11.420000,11.580000,6.866457,0
1995-07-17,11.530000,11.530000,11.210000,11.240000,6.664850,0
